Model,Requirement,Instance,Algorithm,FalsifyRunPass,InputValidationPass,OfficialReplayPass,FalsifyClassification,OfficialClassification,ClassificationAgreementPass,OverallPass,Status
AT,AT53,1,ACER,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT53,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT53,2,RAND,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AT,AT53,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT53,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT53,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT54,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6a,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6abc,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6b,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AT,AT6c,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC27,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC27,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC27,2,ACER,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AFC,AFC27,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC29,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC29,2,A3C,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AFC,AFC29,2,ACER,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AFC,AFC29,2,DDQN,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
AFC,AFC33,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC33,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC33,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
AFC,AFC33,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,1,ACER,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
CC,CC1,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC1,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC2,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC3,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC4,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CC5,2,ACER,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
CC,CC5,2,DDQN,1,1,1,VIOLATED,VIOLATED,1,1,VALIDATED
