Case,InputID,Source,Onset,Duration,MarginMPH,NormalMarginMPH,Violation,GearPass,HeldSamples,FirstReachSeconds,BeforeFaultError,SimulationSeconds
S06,I013,corner,10,1,9.98925378327698,10.884215034574,0,1,92,15,0,0.392361208333333
S07,I013,corner,15,0.2,10.954479626635,10.884215034574,0,1,12,14.76,0,0.384857375
S08,I013,corner,15,0.5,11.1267810820319,10.884215034574,0,1,42,14.76,0,0.394220375
S09,I013,corner,15,1,11.4043252778161,10.884215034574,0,1,92,14.76,0,0.38899575
B00,I014,corner,0,0,10.884215034574,10.884215034574,0,1,0,14.76,0,0.37846925
S01,I014,corner,5,0.2,10.884215034574,10.884215034574,0,1,0,14.76,0,0.391582916666667
S02,I014,corner,5,0.5,10.884215034574,10.884215034574,0,1,0,14.76,0,0.3930105
S03,I014,corner,5,1,10.884215034574,10.884215034574,0,1,0,14.76,0,0.392921458333333
S04,I014,corner,10,0.2,10.7723141556866,10.884215034574,0,1,12,14.79,0,0.396763333333333
S05,I014,corner,10,0.5,10.4871255110717,10.884215034574,0,1,42,14.87,0,0.429669458333333
S06,I014,corner,10,1,9.98925378327698,10.884215034574,0,1,92,15,0,0.481429833333333
S07,I014,corner,15,0.2,10.954479626635,10.884215034574,0,1,12,14.76,0,0.423261333333333
S08,I014,corner,15,0.5,11.1267810820319,10.884215034574,0,1,42,14.76,0,0.461352541666667
S09,I014,corner,15,1,11.4043252778161,10.884215034574,0,1,92,14.76,0,0.422699083333333
B00,I015,corner,0,0,10.884215034574,10.884215034574,0,1,0,14.76,0,0.427038375
S01,I015,corner,5,0.2,10.884215034574,10.884215034574,0,1,0,14.76,0,0.424333666666667
S02,I015,corner,5,0.5,10.884215034574,10.884215034574,0,1,0,14.76,0,0.432784875
S03,I015,corner,5,1,10.884215034574,10.884215034574,0,1,0,14.76,0,0.447047666666667
S04,I015,corner,10,0.2,10.7723141556866,10.884215034574,0,1,12,14.79,0,0.426948875
S05,I015,corner,10,0.5,10.4871255110717,10.884215034574,0,1,42,14.87,0,0.438777583333333
S06,I015,corner,10,1,9.98925378327698,10.884215034574,0,1,92,15,0,0.467525333333333
S07,I015,corner,15,0.2,10.954479626635,10.884215034574,0,1,12,14.76,0,0.450255583333333
S08,I015,corner,15,0.5,11.1267810820319,10.884215034574,0,1,42,14.76,0,0.436450833333333
S09,I015,corner,15,1,11.4043252778161,10.884215034574,0,1,92,14.76,0,0.451595833333333
B00,I016,corner,0,0,10.884215034574,10.884215034574,0,1,0,14.76,0,0.424271833333333
S01,I016,corner,5,0.2,10.884215034574,10.884215034574,0,1,0,14.76,0,0.51546775
S02,I016,corner,5,0.5,10.884215034574,10.884215034574,0,1,0,14.76,0,0.45202325
S03,I016,corner,5,1,10.884215034574,10.884215034574,0,1,0,14.76,0,0.456599333333333
S04,I016,corner,10,0.2,10.7723141556866,10.884215034574,0,1,12,14.79,0,0.449202333333333
S05,I016,corner,10,0.5,10.4871255110717,10.884215034574,0,1,42,14.87,0,0.452332916666667
S06,I016,corner,10,1,9.98925378327698,10.884215034574,0,1,92,15,0,0.515631958333333
S07,I016,corner,15,0.2,10.954479626635,10.884215034574,0,1,12,14.76,0,0.462054833333333
S08,I016,corner,15,0.5,11.1267810820319,10.884215034574,0,1,42,14.76,0,0.488495541666667
S09,I016,corner,15,1,11.4043252778161,10.884215034574,0,1,92,14.76,0,0.467350541666667
B00,I017,corner,0,0,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.416539375
S01,I017,corner,5,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.45179275
S02,I017,corner,5,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.46788725
S03,I017,corner,5,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.454206541666667
S04,I017,corner,10,0.2,16.3389636988716,16.4437978745173,0,1,12,14.79,0,0.454443875
S05,I017,corner,10,0.5,16.1480576752065,16.4437978745173,0,1,42,14.87,0,0.433092416666667
S06,I017,corner,10,1,15.8367044388493,16.4437978745173,0,1,92,15,0,0.439090208333333
S07,I017,corner,15,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.4352595
S08,I017,corner,15,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.45021575
S09,I017,corner,15,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.446000458333333
B00,I018,corner,0,0,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.443251333333333
S01,I018,corner,5,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.446262541666667
S02,I018,corner,5,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.437761666666667
S03,I018,corner,5,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.418906541666667
S04,I018,corner,10,0.2,16.3389636988716,16.4437978745173,0,1,12,14.79,0,0.492759541666667
S05,I018,corner,10,0.5,16.1480576752065,16.4437978745173,0,1,42,14.87,0,0.459665041666667
S06,I018,corner,10,1,15.8367044388493,16.4437978745173,0,1,92,15,0,0.458421375
S07,I018,corner,15,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.434016708333333
S08,I018,corner,15,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.450732083333333
S09,I018,corner,15,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.436306791666667
B00,I019,corner,0,0,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.422657333333333
S01,I019,corner,5,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.441811625
S02,I019,corner,5,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.451019291666667
S03,I019,corner,5,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.51303025
S04,I019,corner,10,0.2,16.3389636988716,16.4437978745173,0,1,12,14.79,0,0.533707208333333
S05,I019,corner,10,0.5,16.1480576752065,16.4437978745173,0,1,42,14.87,0,0.508153333333333
S06,I019,corner,10,1,15.8367044388493,16.4437978745173,0,1,92,15,0,0.469544333333333
S07,I019,corner,15,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.435878708333333
S08,I019,corner,15,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.445294541666667
S09,I019,corner,15,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.433312625
B00,I020,corner,0,0,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.434413291666667
S01,I020,corner,5,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.448853666666667
S02,I020,corner,5,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.464257541666667
S03,I020,corner,5,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.448747833333333
S04,I020,corner,10,0.2,16.3389636988716,16.4437978745173,0,1,12,14.79,0,0.456023708333333
S05,I020,corner,10,0.5,16.1480576752065,16.4437978745173,0,1,42,14.87,0,0.434656333333333
S06,I020,corner,10,1,15.8367044388493,16.4437978745173,0,1,92,15,0,0.436920291666667
S07,I020,corner,15,0.2,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.421367125
S08,I020,corner,15,0.5,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.44047725
S09,I020,corner,15,1,16.4437978745173,16.4437978745173,0,1,0,14.76,0,0.444355375
B00,I021,corner,0,0,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.440799708333333
S01,I021,corner,5,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.440074875
S02,I021,corner,5,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.472534916666667
